frame,read_ms,orange_ms,white_ms,qr_ms,motion_ms,save_img_ms,rename_file_ms,proc_ms,total_ms
66,122.9542,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0203,122.9745
67,114.8038,0.4546,0.0008,0.0056,0.0053,0.0080,0.0134,1.8992,116.7030
68,143.4854,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0094,143.4948
69,130.4876,0.3954,0.0009,0.0030,0.0033,0.0087,0.0136,3.1532,133.6408
70,153.2133,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0214,153.2347
71,117.3348,0.2490,0.0003,0.0015,0.0025,0.0054,0.0103,1.3120,118.6468
72,120.0345,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0171,120.0516
73,107.4548,0.4160,0.0004,0.0037,0.0039,0.0071,0.0160,1.5770,109.0318
74,119.5912,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0112,119.6024
75,105.3040,0.2638,0.0006,0.0024,0.0041,0.0049,0.0092,1.3536,106.6576
76,112.9250,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0149,112.9399
77,98.9894,0.5197,0.0009,0.0042,0.0048,0.0081,0.0157,1.8352,100.8246
78,120.4154,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0157,120.4311
79,104.2243,0.4350,0.0004,0.0049,0.0057,0.0095,0.0188,1.9557,106.1800
80,118.7164,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0281,118.7445
81,98.0922,0.3544,0.0008,0.0033,0.0043,0.0069,0.0113,1.6087,99.7009
82,107.1379,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0180,107.1559
83,98.9743,0.3240,0.0005,0.0027,0.0049,0.0054,0.0112,1.5663,100.5406
84,103.0154,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0212,103.0366
85,119.3700,0.4188,0.0004,0.0037,0.0036,0.0069,0.0129,1.7508,121.1208
86,134.1723,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0111,134.1834
87,113.3320,0.2970,0.0004,0.0034,0.0062,0.0067,0.0088,1.6841,115.0161
88,118.2717,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0151,118.2868
89,104.1435,0.2492,0.0011,0.0021,0.0035,0.0038,0.0061,1.2561,105.3996
90,108.2132,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0167,108.2299
91,105.6291,0.2381,0.0003,0.0018,0.0031,0.0051,0.0115,1.1879,106.8170
92,106.4538,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0166,106.4704
93,100.9580,0.3163,0.0004,0.0026,0.0052,0.0062,0.0095,1.5257,102.4837
94,95.4246,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0144,95.4390
95,112.0797,0.5016,0.0005,0.0093,0.0035,0.0094,0.0188,2.2836,114.3633
96,104.6349,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0222,104.6571
97,103.3260,0.4023,0.0006,0.0058,0.0087,0.0140,0.0200,1.8130,105.1390
98,114.1613,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0139,114.1752
99,103.5674,0.2561,0.0004,0.0021,0.0020,0.0045,0.0086,1.1336,104.7010
100,107.5044,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0059,107.5103
101,106.9609,0.1539,0.0003,0.0012,0.0018,0.0024,0.0044,0.6644,107.6253
102,113.1487,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0212,113.1699
103,105.7601,0.1822,0.0004,0.0012,0.0021,0.0028,0.0055,1.0593,106.8194
104,107.1973,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0054,107.2027
105,108.6774,0.2407,0.0005,0.0020,0.0028,0.0043,0.0189,0.9962,109.6736
106,122.8875,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0068,122.8943
107,105.3108,0.3790,0.0004,0.0037,0.0036,0.0116,0.0097,1.6237,106.9345
108,115.4863,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0136,115.4999
109,99.4252,0.2855,0.0005,0.0025,0.0025,0.0047,0.0068,1.2429,100.6681
110,106.8374,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0132,106.8506
111,113.0348,0.5650,0.0004,0.0046,0.0102,0.0084,0.0161,1.8847,114.9195
112,111.7275,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0091,111.7366
113,111.1722,0.3316,0.0005,0.0033,0.0036,66.7636,0.0310,68.3037,179.4759
114,95.6632,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0123,95.6755
115,101.7096,0.4437,0.0006,0.0034,0.0046,0.0052,0.0139,2.3741,104.0837
116,112.3375,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0152,112.3527
117,100.4300,0.6396,0.0016,0.0059,0.0076,0.0108,0.0170,2.8715,103.3015
118,113.2313,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0186,113.2499
119,118.6889,0.3772,0.0010,0.0027,0.0071,0.0046,0.0137,1.9431,120.6320
120,109.8811,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0280,109.9091
121,125.1969,0.4030,0.0009,0.0035,0.0069,0.0074,0.0126,1.9544,127.1513
122,132.5643,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0174,132.5817
123,120.8725,0.9274,0.0006,0.0040,0.0064,0.0075,0.0117,2.4979,123.3704
124,121.4078,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0311,121.4389
125,128.1696,0.6745,0.0015,0.0093,0.0098,0.0240,0.0291,2.8226,130.9922
126,111.3492,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1692,111.5184
127,126.3022,0.3392,0.0007,0.0028,0.0021,0.0051,0.0094,1.8567,128.1589
128,108.6499,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0248,108.6747
129,137.2460,0.3257,0.0004,0.0028,0.0032,0.0079,0.0161,1.7648,139.0108
130,139.6720,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0114,139.6834
131,156.9592,0.3394,0.0005,0.0043,0.0043,0.0062,0.0159,1.5905,158.5497
132,119.7444,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0170,119.7614
133,107.5046,0.2287,0.0006,0.0020,0.0048,0.0044,0.0093,1.2746,108.7792
134,121.6107,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0233,121.6340
135,120.5748,0.2394,0.0005,0.0024,0.0060,0.0048,0.0120,1.2112,121.7860
136,109.0299,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0143,109.0442
137,107.5485,0.3913,0.0004,0.0048,0.0054,0.0117,0.0160,1.9329,109.4814
138,111.3714,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0152,111.3866
139,123.9051,0.2805,0.0006,0.0033,0.0042,0.0065,0.0161,1.5199,125.4250
140,112.6711,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0105,112.6816
141,117.4456,0.2816,0.0004,0.0027,0.0028,0.0050,0.0106,1.3254,118.7710
142,121.2458,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0168,121.2626
143,127.1096,0.3034,0.0004,0.0043,0.0039,0.0052,0.0133,1.6459,128.7555
144,113.4461,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0201,113.4662
145,117.2433,0.3452,0.0004,0.0033,0.0042,0.0058,0.0179,1.7906,119.0339
146,105.3436,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0123,105.3559
147,113.8231,0.2572,0.0006,0.0035,0.0034,0.0060,0.0124,1.3711,115.1942
148,110.9337,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0098,110.9435
149,112.8612,0.4180,0.0009,0.0044,0.0063,0.0077,0.0179,2.0014,114.8626
150,118.1089,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0253,118.1342
151,110.6319,0.5639,0.0006,0.0046,0.0106,0.0074,0.0227,2.4144,113.0463
152,107.5913,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0171,107.6084
153,117.6545,0.5737,0.0004,0.0030,0.0080,0.0081,0.0239,2.6224,120.2769
154,102.3707,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0209,102.3916
155,113.0673,0.2786,0.0005,0.0027,0.0039,0.0045,0.0104,1.5224,114.5897
156,106.9844,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0224,107.0068
157,106.4979,0.4333,0.0005,0.0046,0.0050,0.0064,0.0142,2.0635,108.5614
158,106.5174,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0153,106.5327
159,113.9367,0.3698,0.0003,0.0039,0.0034,0.0070,0.0179,1.4786,115.4153
160,93.0751,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0066,93.0817
161,110.4483,0.5567,0.0008,0.0070,0.0064,0.0082,0.0213,2.5889,113.0372
162,117.2488,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0207,117.2695
163,123.3177,0.2310,0.0008,0.0014,0.0037,0.0034,0.0078,1.2611,124.5788
164,112.6909,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0109,112.7018
165,111.3475,0.4657,0.0012,0.0058,0.0058,0.0064,0.0170,1.9667,113.3142
166,115.2798,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0106,115.2904
167,101.5273,0.3349,0.0005,0.0022,0.0040,0.0048,0.0101,1.3426,102.8699
168,115.2375,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0158,115.2533
169,75.7935,0.1889,0.0004,0.0013,0.0019,0.0017,0.0070,0.9119,76.7054
170,90.2248,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0127,90.2375
171,106.8277,0.3078,0.0005,0.0046,0.0084,0.0084,0.0131,1.3449,108.1726
172,109.1993,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0156,109.2149
173,105.0453,0.3620,0.0004,0.0023,0.0056,0.0065,0.0093,1.5600,106.6053
174,109.9915,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0156,110.0071
175,103.0195,1.1200,2.4551,0.0035,0.0063,0.0085,0.0149,4.9259,107.9454
176,102.5919,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0144,102.6063
177,108.3294,0.8951,1.9739,0.0034,0.0051,0.0098,0.0107,4.2347,112.5641
178,102.9327,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0153,102.9480
179,105.1344,0.6412,1.9963,0.0026,0.0031,0.0055,0.0086,3.7420,108.8764
180,114.2885,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0143,114.3028
181,115.8497,0.6189,1.4875,0.0020,0.0034,0.0052,0.0082,3.1767,119.0264
182,120.9216,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0121,120.9337
183,115.1350,0.7228,1.3670,0.0026,0.0032,0.0034,0.0058,3.3500,118.4850
184,110.3386,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0164,110.3550
185,121.7814,0.6191,1.5415,0.0022,0.0039,0.0057,0.0085,3.3455,125.1269
186,92.7491,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0191,92.7682
187,108.0560,1.0142,2.8226,0.0058,0.0064,0.0064,0.0119,5.9075,113.9635
188,100.7940,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0214,100.8154
189,107.3752,1.1905,2.2909,0.0046,0.0049,0.0052,0.0113,5.3786,112.7538
190,96.2754,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0107,96.2861
191,107.1666,1.6887,3.0436,0.0042,0.0047,0.0090,0.0136,7.1458,114.3124
192,103.1870,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0210,103.2080
193,107.4898,0.7613,1.6770,0.0050,0.0069,0.0083,0.0127,3.9778,111.4676
194,103.9531,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0103,103.9634
195,103.6857,0.9746,2.7777,0.0044,0.0088,0.0128,0.0216,5.8987,109.5844
196,91.6618,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0235,91.6853
197,107.4777,1.2247,1.8412,0.0030,0.0045,0.0071,0.0157,4.9858,112.4635
