frame,read_ms,orange_ms,white_ms,qr_ms,motion_ms,save_img_ms,rename_file_ms,proc_ms,total_ms
66,72.2114,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0064,72.2178
67,80.5321,0.3424,0.0006,0.0024,0.0033,0.0028,0.0065,1.0254,81.5575
68,98.6696,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0067,98.6763
69,92.9681,0.3687,0.0004,0.0015,0.0024,0.0026,0.0074,1.0906,94.0587
70,72.9494,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0063,72.9557
71,93.2088,0.3435,0.0005,0.0014,0.0028,0.0032,0.0061,1.0564,94.2652
72,88.5536,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0069,88.5605
73,82.2194,0.3416,0.0005,0.0017,0.0022,0.0029,0.0065,1.0442,83.2636
74,107.8842,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0095,107.8937
75,86.0676,0.3293,0.0005,0.0015,0.0025,0.0021,0.0061,0.9887,87.0563
76,105.1127,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0060,105.1187
77,85.3233,0.5429,0.0006,0.0027,0.0031,0.0045,0.0107,1.6395,86.9628
78,78.7041,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0062,78.7103
79,74.0847,0.3361,0.0010,0.0017,0.0027,0.0048,0.0085,1.0745,75.1592
80,113.3263,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0073,113.3336
81,81.2759,0.3198,0.0006,0.0015,0.0020,0.0026,0.0060,1.0003,82.2762
82,76.9661,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0279,76.9940
83,86.5078,0.3139,0.0005,0.0018,0.0022,0.0026,0.0072,1.0081,87.5159
84,85.3187,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0060,85.3247
85,81.2049,0.3375,0.0005,0.0021,0.0020,0.0024,0.0065,1.0142,82.2191
86,81.6686,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0111,81.6797
87,80.6910,0.3405,0.0006,0.0015,0.0022,0.0029,0.0062,0.9999,81.6909
88,98.5596,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0094,98.5690
89,68.9654,0.3223,0.0011,0.0013,0.0020,0.0025,0.0069,0.9657,69.9311
90,92.4828,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0058,92.4886
91,122.6194,0.3172,0.0006,0.0015,0.0019,0.0028,0.0059,0.9506,123.5700
92,102.6007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0074,102.6081
93,86.9850,0.3557,0.0006,0.0015,0.0023,0.0029,0.0076,1.0178,88.0028
94,95.3788,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0088,95.3876
95,96.4001,0.4618,0.0008,0.0026,0.0038,0.0044,0.0091,1.3923,97.7924
96,109.1872,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0085,109.1957
